Frame;Elapsed_Time_In_Milliseconds;Time;Thumb_CMC_Spread;Thumb_CMC_Flex;Thumb_PIP_Flex;Thumb_DIP_Flex;Index_MCP_Spread;Index_MCP_Flex;Index_PIP_Flex;Index_DIP_Flex;Middle_MCP_Spread;Middle_MCP_Flex;Middle_PIP_Flex;Middle_DIP_Flex;Ring_MCP_Spread;Ring_MCP_Flex;Ring_PIP_Flex;Ring_DIP_Flex;Pinky_MCP_Spread;Pinky_MCP_Flex;Pinky_PIP_Flex;Pinky_DIP_Flex;Thumb_CMC_Spread_AngularVelocity;Thumb_CMC_Flex_AngularVelocity;Thumb_PIP_Flex_AngularVelocity;Thumb_DIP_Flex_AngularVelocity;Index_MCP_Spread_AngularVelocity;Index_MCP_Flex_AngularVelocity;Index_PIP_Flex_AngularVelocity;Index_DIP_Flex_AngularVelocity;Middle_MCP_Spread_AngularVelocity;Middle_MCP_Flex_AngularVelocity;Middle_PIP_Flex_AngularVelocity;Middle_DIP_Flex_AngularVelocity;Ring_MCP_Spread_AngularVelocity;Ring_MCP_Flex_AngularVelocity;Ring_PIP_Flex_AngularVelocity;Ring_DIP_Flex_AngularVelocity;Pinky_MCP_Spread_AngularVelocity;Pinky_MCP_Flex_AngularVelocity;Pinky_PIP_Flex_AngularVelocity;Pinky_DIP_Flex_AngularVelocity;Thumb_CMC_Spread_AngularAcceleration;Thumb_CMC_Flex_AngularAcceleration;Thumb_PIP_Flex_AngularAcceleration;Thumb_DIP_Flex_AngularAcceleration;Index_MCP_Spread_AngularAcceleration;Index_MCP_Flex_AngularAcceleration;Index_PIP_Flex_AngularAcceleration;Index_DIP_Flex_AngularAcceleration;Middle_MCP_Spread_AngularAcceleration;Middle_MCP_Flex_AngularAcceleration;Middle_PIP_Flex_AngularAcceleration;Middle_DIP_Flex_AngularAcceleration;Ring_MCP_Spread_AngularAcceleration;Ring_MCP_Flex_AngularAcceleration;Ring_PIP_Flex_AngularAcceleration;Ring_DIP_Flex_AngularAcceleration;Pinky_MCP_Spread_AngularAcceleration;Pinky_MCP_Flex_AngularAcceleration;Pinky_PIP_Flex_AngularAcceleration;Pinky_DIP_Flex_AngularAcceleration
10;166,6667;00:00:00:167;48,49061;51,26295;3,0944;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;10,26283;6,136779;0;-0,008476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;912,2084;323,6984;-0,227451;-0,508547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;183,3333;00:00:00:183;48,43792;51,26983;3,094337;1,386492;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;-3,161545;0,412674;-0,003791;0,008476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-805,4625;-343,4463;-0,227451;1,017094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;200;00:00:00:200;48,40721;51,28279;3,094337;1,386633;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;-1,842728;0,777512;0;0,008461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79,12902;21,89025;0,227451;-0,000858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;216,6667;00:00:00:217;48,56598;51,42771;3,0944;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;9,526519;8,695221;0,003791;-0,016937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;682,1547;475,0625;0,227451;-1,523924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;233,3333;00:00:00:233;48,56598;51,42771;3,0944;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-571,5911;-521,7133;-0,227451;1,016235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;250;00:00:00:250;48,29837;51,41809;3,0944;1,386492;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;-16,05652;-0,576782;0;0,008476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-963,3911;-34,60693;0;0,508547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;266,6667;00:00:00:267;48,29837;51,41809;3,0944;1,386492;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;963,3911;34,60693;0;-0,508547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;283,3333;00:00:00:283;48,43618;51,61619;3,094273;1,386351;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;8,268585;11,88583;-0,007596;-0,008476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;496,1151;713,1499;-0,455761;-0,508547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;300;00:00:00:300;48,45896;51,64339;3,0944;1,386492;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;1,366424;1,631698;0,007596;0,008476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-414,1296;-615,248;0,911522;1,017094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;316,6667;00:00:00:317;48,45896;51,64339;3,0944;1,386492;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-81,98547;-97,9019;-0,455761;-0,508547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
