Frame;Elapsed_Time_In_Milliseconds;Time;Thumb_CMC_Spread;Thumb_CMC_Flex;Thumb_PIP_Flex;Thumb_DIP_Flex;Index_MCP_Spread;Index_MCP_Flex;Index_PIP_Flex;Index_DIP_Flex;Middle_MCP_Spread;Middle_MCP_Flex;Middle_PIP_Flex;Middle_DIP_Flex;Ring_MCP_Spread;Ring_MCP_Flex;Ring_PIP_Flex;Ring_DIP_Flex;Pinky_MCP_Spread;Pinky_MCP_Flex;Pinky_PIP_Flex;Pinky_DIP_Flex;Thumb_CMC_Spread_AngularVelocity;Thumb_CMC_Flex_AngularVelocity;Thumb_PIP_Flex_AngularVelocity;Thumb_DIP_Flex_AngularVelocity;Index_MCP_Spread_AngularVelocity;Index_MCP_Flex_AngularVelocity;Index_PIP_Flex_AngularVelocity;Index_DIP_Flex_AngularVelocity;Middle_MCP_Spread_AngularVelocity;Middle_MCP_Flex_AngularVelocity;Middle_PIP_Flex_AngularVelocity;Middle_DIP_Flex_AngularVelocity;Ring_MCP_Spread_AngularVelocity;Ring_MCP_Flex_AngularVelocity;Ring_PIP_Flex_AngularVelocity;Ring_DIP_Flex_AngularVelocity;Pinky_MCP_Spread_AngularVelocity;Pinky_MCP_Flex_AngularVelocity;Pinky_PIP_Flex_AngularVelocity;Pinky_DIP_Flex_AngularVelocity;Thumb_CMC_Spread_AngularAcceleration;Thumb_CMC_Flex_AngularAcceleration;Thumb_PIP_Flex_AngularAcceleration;Thumb_DIP_Flex_AngularAcceleration;Index_MCP_Spread_AngularAcceleration;Index_MCP_Flex_AngularAcceleration;Index_PIP_Flex_AngularAcceleration;Index_DIP_Flex_AngularAcceleration;Middle_MCP_Spread_AngularAcceleration;Middle_MCP_Flex_AngularAcceleration;Middle_PIP_Flex_AngularAcceleration;Middle_DIP_Flex_AngularAcceleration;Ring_MCP_Spread_AngularAcceleration;Ring_MCP_Flex_AngularAcceleration;Ring_PIP_Flex_AngularAcceleration;Ring_DIP_Flex_AngularAcceleration;Pinky_MCP_Spread_AngularAcceleration;Pinky_MCP_Flex_AngularAcceleration;Pinky_PIP_Flex_AngularAcceleration;Pinky_DIP_Flex_AngularAcceleration
10;160;00:00:00:160;42,53209;11,12132;3,0944;26,68496;2,378005;-0,13417;98,67903;89,38464;-14,68046;0,28599;58,87503;53,5663;-22,12629;0,886028;95,29603;86,63586;-23,98329;3,732923;15,75213;15,33839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1466,414;-8460,509;-0,227451;0;442,5104;483,0134;2848,672;2563,852;220,3548;3666,502;9918,744;8925,1;754,6027;2080,939;738,9403;665,9636;758,4273;-29,68025;2952,658;2652,669
11;176;00:00:00:176;43,05693;13,7229;3,0944;24,70841;2,517073;-1,095573;97,24304;88,09212;-15,12803;-1,009494;55,21141;50,26967;-22,07123;-0,811324;95,29606;86,63585;-24,15432;3,739631;14,02388;13,78578;31,49002;156,0947;0;-118,5931;8,344088;-57,68414;-86,15936;-77,55157;-26,85402;-77,72906;-219,817;-197,7976;3,303451;-101,8411;0,001831;-0,000916;-10,26146;0,402517;-103,6951;-93,15662;1889,401;9365,683;0;-7115,583;500,6452;-3461,048;-5169,561;-4653,094;-1611,241;-4663,743;-13189,02;-11867,86;198,2071;-6110,467;0,109863;-0,054932;-615,6875;24,15104;-6221,705;-5589,396
12;192;00:00:00:192;43,15839;14,29726;3,094273;23,95676;3,186535;-2,162656;96,39316;87,32717;-14,72335;-2,460447;54,24427;49,39936;-21,63095;-2,598797;95,29604;86,63586;-24,2558;3,743608;13,05725;12,9174;6,08757;34,46199;-0,007596;-45,09887;40,1677;-64,02499;-50,99304;-45,89676;24,28087;-87,05719;-58,02841;-52,21847;26,41674;-107,2484;-0,000916;0,000916;-6,089172;0,238638;-57,99785;-52,10312;-1524,147;-7297,963;-0,455761;4409,651;1909,417;-380,451;2109,979;1899,289;3068,093;-559,6879;9707,313;8734,748;1386,797;-324,4359;-0,164795;0,109863;250,3372;-9,832763;2741,834;2463,21
13;208;00:00:00:208;43,30371;14,88642;3,094337;23,70622;3,228891;-2,521657;95,98283;86,95792;-14,82197;-2,834139;53,83397;49,03016;-21,39745;-3,263088;95,29607;86,63584;-24,33133;3,746588;12,61789;12,52267;8,719482;35,3496;0,003805;-15,0325;2,541375;-21,54005;-24,61944;-22,1553;-5,917682;-22,42152;-24,61853;-22,15233;14,01031;-39,85747;0,001373;-0,001373;-4,531746;0,1788;-26,36169;-23,68372;157,9147;53,25622;0,684071;1803,982;-2257,58;2549,096;1582,416;1424,487;-1811,913;3878,14;2004,593;1803,969;-744,3854;4043,455;0,137329;-0,137329;93,44556;-3,590297;1898,17;1705,164
14;224;00:00:00:224;43,45637;15,30026;3,0944;23,39999;2,59616;-1,899913;95,48464;86,50948;-15,45616;-2,128724;53,45297;48,68734;-22,04141;-2,610146;95,29606;86,63584;-24,31523;3,745961;12,2078;12,15426;9,159621;24,83042;0,003791;-18,37383;-37,96386;37,30463;-29,89151;-26,90597;-38,05126;42,3249;-22,85957;-20,56915;-38,63788;39,17656;-0,000458;0;0,96611;-0,037622;-24,60542;-22,10483;26,40833;-631,1509;-0,000858;-200,4798;-2430,314;3530,681;-316,3238;-285,0403;-1928,014;3884,785;105,5374;94,99053;-3158,892;4742,041;-0,109863;0,082397;329,8713;-12,98532;105,376;94,73304
15;240;00:00:00:240;44,28332;14,75355;3,094273;22,81536;2,654538;-2,511935;94,371;85,50715;-15,50095;-2,734591;52,45655;47,79069;-21,95667;-4,252062;95,29606;86,63585;-25,01822;3,773875;11,0947;11,15433;49,617;-32,80306;-0,007596;-35,07786;3,502693;-36,72134;-66,81839;-60,14007;-2,687244;-36,35201;-59,78553;-53,79867;5,084495;-98,515;0;0,000458;-42,17949;1,674814;-66,78606;-59,99576;2427,443;-3458,008;-0,683212;-1002,242;2487,993;-4441,558;-2215,613;-1994,046;2121,841;-4720,614;-2215,558;-1993,771;2623,343;-8261,493;0,027466;0,027466;-2588,736;102,7462;-2530,838;-2273,456
16;256;00:00:00:256;43,98574;15,38203;3,094337;22,70402;3,17262;-3,374058;94,19515;85,34888;-14,97937;-3,926454;52,22209;47,57972;-21,43491;-5,548213;95,29604;86,63586;-24,65261;3,759371;10,80179;10,89116;-17,85461;37,70919;0,003805;-6,680488;31,08488;-51,72738;-10,55099;-9,495849;31,29501;-71,51178;-14,06753;-12,65808;31,30588;-77,76904;-0,000916;0,000458;21,93695;-0,870223;-17,57412;-15,79027;-4048,297;4230,735;0,684071;1703,842;1654,931;-900,3625;3376,044;3038,653;2038,935;-2109,586;2743,08;2468,435;1573,283;1244,758;-0,054932;0;3846,986;-152,7022;2952,716;2652,329
17;272;00:00:00:272;44,16953;15,39767;3,094337;22,50913;3,105136;-3,67557;93,66765;84,87411;-15,08276;-4,97386;51,81182;47,21052;-21,70013;-6,137757;95,29604;86,63586;-25,02614;3,774187;10,06947;10,23333;11,02707;0,938416;0;-11,693;-4,048991;-18,09068;-31,65024;-28,48663;-6,203899;-62,84433;-24,61624;-22,1521;-15,91324;-35,37263;0;0,000458;-22,41222;0,88892;-43,93953;-39,46924;1732,901;-2206,247;-0,22831;-300,7507;-2108,032;2018,202;-1265,954;-1139,447;-2249,935;520,0472;-632,9223;-569,6411;-2833,147;2543,784;0,054932;0;-2660,95;105,5486;-1581,925;-1420,738
18;288;00:00:00:288;44,30301;15,10784;3,094273;22,09157;2,664033;-3,53136;92,08512;83,44971;-15,46284;-5,369655;51,19639;46,65672;-22,3963;-5,611155;95,29605;86,63586;-25,50838;3,793541;9,161415;9,417595;8,009033;-17,39021;-0,003805;-25,05352;-26,46618;8,652549;-94,95162;-85,46401;-22,80435;-23,74769;-36,92573;-33,22792;-41,77047;31,59611;0,000458;-0,000458;-28,93421;1,16126;-54,48314;-48,94437;-181,0821;-1099,718;-0,22831;-801,631;-1345,031;1604,594;-3798,083;-3418,643;-996,0272;2345,798;-738,5695;-664,5493;-1551,434;4018,124;0,027466;-0,054932;-391,3192;16,34044;-632,6168;-568,5081
19;304;00:00:00:304;44,18368;15,21288;3,094337;21,89668;2,690937;-3,835124;91,23521;82,68478;-15,55189;-5,928702;50,93264;46,4194;-22,54051;-5,849419;94,25513;85,69761;-25,59613;3,797101;8,897795;9,180741;-7,16011;6,302661;0,003805;-11,69369;1,614189;-18,22579;-50,99441;-45,89584;-5,34336;-33,54286;-15,82466;-14,23965;-8,652534;-14,29582;-62,45498;-56,29486;-5,264854;0,21359;-15,81722;-14,21122;-910,1486;1421,572;0,456619;801,5898;1684,822;-1612,7;2637,432;2374,09;1047,66;-587,7103;1266,064;1139,296;1987,076;-2753,515;-3747,326;-3377,664;1420,161;-56,86025;2319,955;2083,99
