Frame;Elapsed_Time_In_Milliseconds;Time;Thumb_CMC_Spread;Thumb_CMC_Flex;Thumb_PIP_Flex;Thumb_DIP_Flex;Index_MCP_Spread;Index_MCP_Flex;Index_PIP_Flex;Index_DIP_Flex;Middle_MCP_Spread;Middle_MCP_Flex;Middle_PIP_Flex;Middle_DIP_Flex;Ring_MCP_Spread;Ring_MCP_Flex;Ring_PIP_Flex;Ring_DIP_Flex;Pinky_MCP_Spread;Pinky_MCP_Flex;Pinky_PIP_Flex;Pinky_DIP_Flex;Thumb_CMC_Spread_AngularVelocity;Thumb_CMC_Flex_AngularVelocity;Thumb_PIP_Flex_AngularVelocity;Thumb_DIP_Flex_AngularVelocity;Index_MCP_Spread_AngularVelocity;Index_MCP_Flex_AngularVelocity;Index_PIP_Flex_AngularVelocity;Index_DIP_Flex_AngularVelocity;Middle_MCP_Spread_AngularVelocity;Middle_MCP_Flex_AngularVelocity;Middle_PIP_Flex_AngularVelocity;Middle_DIP_Flex_AngularVelocity;Ring_MCP_Spread_AngularVelocity;Ring_MCP_Flex_AngularVelocity;Ring_PIP_Flex_AngularVelocity;Ring_DIP_Flex_AngularVelocity;Pinky_MCP_Spread_AngularVelocity;Pinky_MCP_Flex_AngularVelocity;Pinky_PIP_Flex_AngularVelocity;Pinky_DIP_Flex_AngularVelocity;Thumb_CMC_Spread_AngularAcceleration;Thumb_CMC_Flex_AngularAcceleration;Thumb_PIP_Flex_AngularAcceleration;Thumb_DIP_Flex_AngularAcceleration;Index_MCP_Spread_AngularAcceleration;Index_MCP_Flex_AngularAcceleration;Index_PIP_Flex_AngularAcceleration;Index_DIP_Flex_AngularAcceleration;Middle_MCP_Spread_AngularAcceleration;Middle_MCP_Flex_AngularAcceleration;Middle_PIP_Flex_AngularAcceleration;Middle_DIP_Flex_AngularAcceleration;Ring_MCP_Spread_AngularAcceleration;Ring_MCP_Flex_AngularAcceleration;Ring_PIP_Flex_AngularAcceleration;Ring_DIP_Flex_AngularAcceleration;Pinky_MCP_Spread_AngularAcceleration;Pinky_MCP_Flex_AngularAcceleration;Pinky_PIP_Flex_AngularAcceleration;Pinky_DIP_Flex_AngularAcceleration
0;0;00:00:00:000;60,63804;-18,96554;68,09437;6,446128;3,499559;5,461851;5,490943;5,516793;-6,852345;83,55197;89,12969;80,78918;-12,07349;83,49255;63,98478;58,42868;-4,836306;22,19094;74,06248;67,78293;3638,282;-1137,932;4085,662;386,7677;209,9735;327,711;329,4566;331,0076;-411,1407;5013,118;5347,781;4847,351;-724,4094;5009,553;3839,087;3505,72;-290,1783;1331,456;4443,749;4066,976;218296,9;-68275,94;245139,7;23206,06;12598,41;19662,66;19767,39;19860,45;-24668,44;300787,1;320866,8;290841;-43464,56;300573,2;230345,2;210343,2;-17410,7;79887,38;266624,9;244018,5
1;16;00:00:00:016;60,63804;-18,96554;68,09437;6,446128;3,499559;5,461851;5,490943;5,516793;-6,852345;83,55197;89,12969;80,78918;-12,07349;83,49255;63,98478;58,42868;-4,836306;22,19094;74,06248;67,78293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-218296,9;68275,94;-245139,7;-23206,06;-12598,41;-19662,66;-19767,39;-19860,45;24668,44;-300787,1;-320866,8;-290841;43464,56;-300573,2;-230345,2;-210343,2;17410,7;-79887,38;-266624,9;-244018,5
2;32;00:00:00:032;60,63804;-18,96554;68,09437;6,362638;3,515133;5,039639;5,344488;5,38496;-6,852345;83,55197;88,95377;80,6309;-12,07349;83,49255;62,22614;56,84562;-4,823733;22,51864;77,34556;70,74047;0;0;0;-5,00945;0,934482;-25,33267;-8,787317;-7,909984;0;0;-10,55511;-9,497222;0;0;-105,5186;-94,98321;0,754395;19,66186;196,9848;177,4525;0;0;0;-300,567;56,06889;-1519,96;-527,239;-474,599;0;0;-633,3068;-569,8333;0;0;-6331,118;-5698,992;45,26366;1179,712;11819,09;10647,15
3;48;00:00:00:048;60,63804;-18,96554;68,09437;6,362638;3,574565;4,788516;5,315186;5,358586;-6,852345;83,55197;89,10038;80,76281;-12,07349;83,49255;61,84511;56,50264;-4,91171;22,64081;78,43018;71,71765;0;0;0;0;3,565893;-15,0674;-1,758127;-1,58246;0;0;8,796387;7,914733;0;0;-22,86186;-20,57876;-5,278644;7,330284;65,07706;58,63083;0;0;0;300,567;157,8847;615,9158;421,7514;379,6514;0;0;1161,09;1044,717;0;0;4959,406;4464,267;-361,9823;-739,8947;-7914,467;-7129,302
4;64;00:00:00:064;60,63804;-18,96554;68,09437;6,362638;3,518529;4,552254;5,256541;5,305814;-6,852345;83,55197;89,4229;81,05301;-12,07349;83,49255;61,2589;55,97501;-4,784587;22,84484;80,51147;73,59291;0;0;0;0;-3,362131;-14,17574;-3,518715;-3,166322;0;0;19,35104;17,41196;0;0;-35,17227;-31,65779;7,627401;12,24152;124,8775;112,5156;0;0;0;0;-415,6814;53,49998;-105,6352;-95,03172;0;0;633,2793;569,8334;0;0;-738,6246;-664,7415;774,3627;294,6739;3588,024;3233,084
5;80;00:00:00:080;60,63804;-18,96554;68,09437;6,362638;3,539889;4,506544;5,168656;5,226748;-6,852345;83,55197;89,4229;81,05301;-12,07349;83,49255;61,05373;55,79034;-4,801712;22,96306;81,27369;74,27966;0;0;0;0;1,281552;-2,742605;-5,273094;-4,743976;0;0;0;0;0;0;-12,31041;-11,08063;-1,027479;7,093505;45,73333;41,20514;0;0;0;0;278,621;685,988;-105,2627;-94,65921;0;0;-1161,063;-1044,717;0;0;1371,712;1234,63;-519,2928;-308,8806;-4748,647;-4278,625
6;96;00:00:00:096;60,63804;-18,96554;68,09437;6,446128;3,579218;4,028322;5,139307;5,200365;-6,852345;83,55197;89,4229;81,05301;-12,07349;83,49255;60,81925;55,57931;-4,672273;23,14353;82,15311;75,07214;0;0;0;5,00945;2,359757;-28,69331;-1,760902;-1,582975;0;0;0;0;0;0;-14,06891;-12,66151;7,766304;10,82806;52,7655;47,54882;0;0;0;300,567;64,6923;-1557,042;210,7315;189,66;0;0;0;0;0;0;-105,5099;-94,8532;527,627;224,073;421,9299;380,6213
7;112;00:00:00:112;60,63804;-18,96554;68,09437;6,362638;3,572867;3,629899;5,022115;5,094892;-6,852345;83,55197;90,24389;81,79173;-12,07349;83,49255;60,58477;55,36827;-4,729777;23,35777;83,09119;75,91746;0;0;0;-5,00945;-0,381074;-23,90539;-7,031564;-6,328382;0;0;49,25949;44,32296;0;0;-14,06845;-12,6622;-3,45025;12,85423;56,28479;50,71884;0;0;0;-601,134;-164,4499;287,2753;-316,2397;-284,7244;0;0;2955,569;2659,378;0;0;0,027466;-0,041199;-672,9932;121,5706;211,1572;190,2008
8;128;00:00:00:128;60,63804;-18,96554;68,09437;6,362638;3,609776;3,487228;5,022115;5,094853;-6,852345;83,55197;90,36117;81,89725;-12,07349;83,49255;60,52617;55,3155;-4,742021;23,4757;83,38433;76,18164;0;0;0;0;2,214575;-8,560209;0;-0,002289;0;0;7,036743;6,331787;0;0;-3,51654;-3,16658;-0,734625;7,075996;17,5882;15,85098;0;0;0;300,567;155,7389;920,7108;421,8938;379,5656;0;0;-2533,365;-2279,47;0;0;633,1146;569,7372;162,9375;-346,6941;-2321,795;-2092,071
9;144;00:00:00:144;60,63804;-18,96554;68,09437;6,362638;3,609776;3,487228;5,022115;5,094853;-6,852345;83,55197;90,36117;81,89725;-12,07349;83,49255;60,52617;55,3155;-4,742021;23,4757;83,38433;76,18164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-132,8745;513,6125;0;0,137329;0;0;-422,2045;-379,9072;0;0;210,9924;189,9948;44,07748;-424,5597;-1055,292;-951,0588
