Frame;Elapsed_Time_In_Milliseconds;Time;Thumb_CMC_Spread;Thumb_CMC_Flex;Thumb_PIP_Flex;Thumb_DIP_Flex;Index_MCP_Spread;Index_MCP_Flex;Index_PIP_Flex;Index_DIP_Flex;Middle_MCP_Spread;Middle_MCP_Flex;Middle_PIP_Flex;Middle_DIP_Flex;Ring_MCP_Spread;Ring_MCP_Flex;Ring_PIP_Flex;Ring_DIP_Flex;Pinky_MCP_Spread;Pinky_MCP_Flex;Pinky_PIP_Flex;Pinky_DIP_Flex;Thumb_CMC_Spread_AngularVelocity;Thumb_CMC_Flex_AngularVelocity;Thumb_PIP_Flex_AngularVelocity;Thumb_DIP_Flex_AngularVelocity;Index_MCP_Spread_AngularVelocity;Index_MCP_Flex_AngularVelocity;Index_PIP_Flex_AngularVelocity;Index_DIP_Flex_AngularVelocity;Middle_MCP_Spread_AngularVelocity;Middle_MCP_Flex_AngularVelocity;Middle_PIP_Flex_AngularVelocity;Middle_DIP_Flex_AngularVelocity;Ring_MCP_Spread_AngularVelocity;Ring_MCP_Flex_AngularVelocity;Ring_PIP_Flex_AngularVelocity;Ring_DIP_Flex_AngularVelocity;Pinky_MCP_Spread_AngularVelocity;Pinky_MCP_Flex_AngularVelocity;Pinky_PIP_Flex_AngularVelocity;Pinky_DIP_Flex_AngularVelocity;Thumb_CMC_Spread_AngularAcceleration;Thumb_CMC_Flex_AngularAcceleration;Thumb_PIP_Flex_AngularAcceleration;Thumb_DIP_Flex_AngularAcceleration;Index_MCP_Spread_AngularAcceleration;Index_MCP_Flex_AngularAcceleration;Index_PIP_Flex_AngularAcceleration;Index_DIP_Flex_AngularAcceleration;Middle_MCP_Spread_AngularAcceleration;Middle_MCP_Flex_AngularAcceleration;Middle_PIP_Flex_AngularAcceleration;Middle_DIP_Flex_AngularAcceleration;Ring_MCP_Spread_AngularAcceleration;Ring_MCP_Flex_AngularAcceleration;Ring_PIP_Flex_AngularAcceleration;Ring_DIP_Flex_AngularAcceleration;Pinky_MCP_Spread_AngularAcceleration;Pinky_MCP_Flex_AngularAcceleration;Pinky_PIP_Flex_AngularAcceleration;Pinky_DIP_Flex_AngularAcceleration
0;0;00:00:00:000;33,42566;5,039565;68,09438;43,13771;-4,122173;69,87452;103,5072;93,73036;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;2005,539;302,3739;4085,662;2588,262;-247,3304;4192,471;6210,433;5623,821;-411,1407;5013,118;6214,647;5627,396;-724,4094;5009,553;6199,358;5632,305;-802,08;4990,225;6198,719;5648,727;120332,3;18142,43;245139,7;155295,7;-14839,82;251548,2;372626;337429,3;-24668,44;300787,1;372878,8;337643,8;-43464,56;300573,2;371961,5;337938,3;-48124,79;299413,5;371923,1;338923,6
1;16;00:00:00:016;33,47689;5,019783;68,09437;39,12892;-4,1417;69,87509;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;3,074112;-1,186924;-0,000458;-240,5276;-1,171617;0,034332;0;-0,001831;0;0;0;0;0;0;0;0;0;0;0;0;-120147,9;-18213,65;-245139,8;-169727,4;14769,53;-251546,2;-372626;-337429,4;24668,44;-300787,1;-372878,8;-337643,8;43464,56;-300573,2;-371961,5;-337938,3;48124,79;-299413,5;-371923,1;-338923,6
2;32;00:00:00:032;33,50743;5;68,09438;37,23588;-4,128202;69,87471;103,5072;93,73032;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;1,832428;-1,186952;0,000458;-113,5821;0,80987;-0,022888;0,000458;-0,000458;0;0;0;0;0;0;0;0;0;0;0;0;-74,50103;-0,001717;0,054932;7616,724;118,8892;-3,433227;0,027466;0,082397;0;0;0;0;0;0;0;0;0;0;0;0
3;48;00:00:00:048;33,55431;5;68,09438;35,50988;-3,922013;69,8689;103,5072;93,73035;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;2,812958;0;0;-103,5603;12,37138;-0,348358;-0,000458;0,001373;0;0;0;0;0;0;0;0;0;0;0;0;58,83178;71,21715;-0,027466;601,3091;693,6904;-19,5282;-0,054932;0,109863;0;0;0;0;0;0;0;0;0;0;0;0
4;64;00:00:00:064;33,55431;5;68,09438;35,50988;-3,922013;69,8689;103,5072;93,73035;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-168,7774;0;0;6213,619;-742,2826;20,90149;0,027466;-0,082397;0;0;0;0;0;0;0;0;0;0;0;0
5;80;00:00:00:080;33,7307;4,913771;68,09438;28,96775;-3,739264;70,44884;103,5072;93,73035;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;10,58327;-5,173759;0;-392,5276;10,9649;34,79599;0,000458;0;0;0;0;0;0;0;0;0;0;0;0;0;634,996;-310,4255;0;-23551,66;657,8939;2087,759;0,027466;0;0;0;0;0;0;0;0;0;0;0;0;0
6;96;00:00:00:096;33,84697;4,865829;68,09438;26,79632;-3,589051;70,81941;103,5072;93,73036;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;6,97586;-2,876472;0;-130,2857;9,012809;22,2345;0;0,000916;0;0;0;0;0;0;0;0;0;0;0;0;-216,4444;137,8372;0;15734,51;-117,1254;-753,6896;-0,027466;0,054932;0;0;0;0;0;0;0;0;0;0;0;0
7;112;00:00:00:112;33,98719;4,807186;68,09438;24,8476;-3,489586;71,2616;103,5072;93,73035;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;8,413467;-3,518629;0;-116,9231;5,967922;26,53106;-0,000458;-0,000916;0;0;0;0;0;0;0;0;0;0;0;0;86,25643;-38,52939;0;801,7552;-182,6932;257,7942;-0,027466;-0,109863;0;0;0;0;0;0;0;0;0;0;0;0
8;128;00:00:00:128;34,25404;4,698035;68,09438;23,9846;-3,420794;71,49402;103,5072;93,73032;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;16,01097;-6,549024;0;-51,78005;4,127483;13,94531;0;-0,001831;0;0;0;0;0;0;0;0;0;0;0;0;455,8502;-181,8237;0;3908,585;-110,4263;-755,1451;0,027466;-0,054932;0;0;0;0;0;0;0;0;0;0;0;0
9;144;00:00:00:144;34,32185;4,668978;68,09438;23,28863;-3,360045;71,70325;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;4,068375;-1,74345;0;-41,75823;3,644972;12,55371;0,000458;0,000916;0;0;0;0;0;0;0;0;0;0;0;0;-716,5557;288,3344;0;601,3091;-28,9507;-83,49609;0,027466;0,164795;0;0;0;0;0;0;0;0;0;0;0;0
10;160;00:00:00:160;34,46072;4,610835;68,09437;21,3399;-3,199716;72,40193;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,07349;83,49255;103,3226;93,87175;-13,368;83,17043;103,312;94,14545;8,332443;-3,488588;-0,000458;-116,9237;9,619702;41,92108;-0,000458;0;0;0;0;0;0;0;0;0;0;0;0;0;255,8441;-104,7083;-0,027466;-4509,928;358,4838;1762,042;-0,054932;-0,054932;0;0;0;0;0;0;0;0;0;0;0;0
