Frame;Elapsed_Time_In_Milliseconds;Time;Thumb_CMC_Spread;Thumb_CMC_Flex;Thumb_PIP_Flex;Thumb_DIP_Flex;Index_MCP_Spread;Index_MCP_Flex;Index_PIP_Flex;Index_DIP_Flex;Middle_MCP_Spread;Middle_MCP_Flex;Middle_PIP_Flex;Middle_DIP_Flex;Ring_MCP_Spread;Ring_MCP_Flex;Ring_PIP_Flex;Ring_DIP_Flex;Pinky_MCP_Spread;Pinky_MCP_Flex;Pinky_PIP_Flex;Pinky_DIP_Flex;Thumb_CMC_Spread_AngularVelocity;Thumb_CMC_Flex_AngularVelocity;Thumb_PIP_Flex_AngularVelocity;Thumb_DIP_Flex_AngularVelocity;Index_MCP_Spread_AngularVelocity;Index_MCP_Flex_AngularVelocity;Index_PIP_Flex_AngularVelocity;Index_DIP_Flex_AngularVelocity;Middle_MCP_Spread_AngularVelocity;Middle_MCP_Flex_AngularVelocity;Middle_PIP_Flex_AngularVelocity;Middle_DIP_Flex_AngularVelocity;Ring_MCP_Spread_AngularVelocity;Ring_MCP_Flex_AngularVelocity;Ring_PIP_Flex_AngularVelocity;Ring_DIP_Flex_AngularVelocity;Pinky_MCP_Spread_AngularVelocity;Pinky_MCP_Flex_AngularVelocity;Pinky_PIP_Flex_AngularVelocity;Pinky_DIP_Flex_AngularVelocity;Thumb_CMC_Spread_AngularAcceleration;Thumb_CMC_Flex_AngularAcceleration;Thumb_PIP_Flex_AngularAcceleration;Thumb_DIP_Flex_AngularAcceleration;Index_MCP_Spread_AngularAcceleration;Index_MCP_Flex_AngularAcceleration;Index_PIP_Flex_AngularAcceleration;Index_DIP_Flex_AngularAcceleration;Middle_MCP_Spread_AngularAcceleration;Middle_MCP_Flex_AngularAcceleration;Middle_PIP_Flex_AngularAcceleration;Middle_DIP_Flex_AngularAcceleration;Ring_MCP_Spread_AngularAcceleration;Ring_MCP_Flex_AngularAcceleration;Ring_PIP_Flex_AngularAcceleration;Ring_DIP_Flex_AngularAcceleration;Pinky_MCP_Spread_AngularAcceleration;Pinky_MCP_Flex_AngularAcceleration;Pinky_PIP_Flex_AngularAcceleration;Pinky_DIP_Flex_AngularAcceleration
0;0;00:00:00:000;60,63804;-18,96554;7,432446;6,056409;-5,312236;12,72394;103,5072;93,73033;-8,750506;11,10534;103,5775;93,78991;-11,34344;6,003517;52,11506;47,74689;-10,61276;6,125768;7,696869;8,101909;3638,282;-1137,932;445,9467;363,3846;-318,7341;763,4366;6210,434;5623,82;-525,0303;666,3203;6214,647;5627,394;-680,6061;360,211;3126,903;2864,813;-636,7656;367,5461;461,8121;486,1145;218296,9;-68275,94;26756,8;21803,07;-19124,05;45806,19;372626;337429,2;-31501,82;39979,21;372878,8;337643,6;-40836,37;21612,66;187614,2;171888,8;-38205,93;22052,76;27708,73;29166,87
1;16;00:00:00:016;60,68282;-18,85772;7,432472;6,000708;-5,953448;17,64849;103,5072;93,73032;-9,514009;17,8526;103,5775;93,78992;-12,09996;6,038906;49,65352;45,53254;-11,4807;6,283068;7,550396;7,97031;2,686615;6,469345;0,001574;-3,342104;-38,47274;295,4726;0;-0,000458;-45,81018;404,8359;0;0,000916;-45,39144;2,123337;-147,6922;-132,8611;-52,07662;9,437999;-8,788404;-7,895908;-218135,7;68664,1;-26756,71;-22003,6;16815,68;-28077,84;-372626;-337429,2;28753,21;-15689,06;-372878,8;-337643,6;38112,88;-21485,26;-196475,7;-179860,5;35081,34;-21486,48;-28236,03;-29640,62
2;32;00:00:00:032;60,68282;-18,85772;7,432472;6,000708;-5,953448;17,64849;103,5072;93,73032;-9,514009;17,8526;103,5775;93,78992;-12,09996;6,038906;49,65352;45,53254;-11,4807;6,283068;7,550396;7,97031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-161,1969;-388,1606;-0,094414;200,5262;2308,365;-17728,36;0;0,027466;2748,611;-24290,15;0;-0,054932;2723,486;-127,4002;8861,529;7971,666;3124,597;-566,2799;527,3043;473,7545
3;48;00:00:00:048;60,84326;-18,46743;7,432419;6,000675;-5,999139;19,57219;103,5072;93,73035;-8,75993;20,08718;103,5775;93,7899;-11,07633;5,991161;49,65353;45,53254;-10,66657;6,247173;7,696844;8,101909;9,62654;23,41701;-0,003176;-0,001974;-2,741461;115,4224;-0,000458;0,001831;45,24479;134,0745;0,000458;-0,001373;61,41786;-2,864656;0,000458;0;48,84819;-2,153664;8,78686;7,895908;577,5924;1405,021;-0,190544;-0,118446;-164,4876;6925,341;-0,027466;0,109863;2714,687;8044,47;0,027466;-0,082397;3685,072;-171,8794;0,027466;0;2930,891;-129,2198;527,2115;473,7545
4;64;00:00:00:064;60,96496;-18,16717;7,432472;5,945046;-6,079186;22,14204;103,5072;93,73033;-8,465128;23,09295;103,5775;93,78992;-11,40907;6,054338;49,65351;45,53254;-10,64039;6,341308;8,575606;8,891278;7,302017;18,01598;0,003176;-3,337698;-4,802827;154,191;0,000458;-0,001373;17,6881;180,3462;-0,000458;0,001373;-19,9645;3,790598;-0,001144;-0,000229;1,570644;5,648059;52,72576;47,36217;-139,4714;-324,0622;0,381088;-200,1434;-123,682;2326,121;0,054932;-0,192261;-1653,401;2776,3;-0,054932;0,164795;-4882,941;399,3152;-0,09613;-0,013733;-2836,652;468,1034;2636,334;2367,976
5;80;00:00:00:080;61,01281;-18,04812;7,699113;5,945013;-6,137341;22,81985;103,5072;93,73034;-8,986403;23,88035;103,5775;93,78993;-11,36195;6,052135;49,88796;45,74342;-11,19361;6,365749;9,044288;9,312324;2,871094;7,142944;15,99847;-0,002003;-3,489303;40,66829;0;0,000458;-31,27653;47,2443;0;0,000458;2,827434;-0,132151;14,06685;12,65259;-33,19313;1,466503;28,12088;25,26272;-265,8554;-652,3819;959,7175;200,1417;78,81144;-6811,364;-0,027466;0,109863;-2937,878;-7986,112;0,027466;-0,054932;1367,516;-235,3649;844,0795;759,1689;-2085,826;-250,8934;-1476,293;-1325,967
6;96;00:00:00:096;61,10201;-17,82465;7,699088;5,945013;-6,194035;23,82503;103,5072;93,73032;-8,621062;24,6402;103,5775;93,78993;-11,33039;6,074509;50,50333;46,297;-10,87216;6,351503;10,30383;10,44386;5,352172;13,40824;-0,001516;0;-3,401613;60,31082;0;-0,001373;21,92047;45,59063;0;0;1,893482;1,342392;36,92207;33,21487;19,2869;-0,854788;75,57283;67,89196;148,8647;375,9178;-959,999;0,120163;5,261421;1178,551;0;-0,109863;3191,82;-99,22027;0;-0,027466;-56,03713;88,47254;1371,313;1233,737;3148,802;-139,2774;2847,117;2557,754
7;112;00:00:00:112;61,1332;-17,74602;7,699113;5,945013;-6,223906;24,10872;103,5072;93,73033;-8,73046;24,90627;103,5775;93,78991;-11,35687;6,099629;50,50333;46,29699;-10,94767;6,354836;11,18257;11,23328;1,871109;4,717941;0,001516;0;-1,792259;17,02114;0;0,000916;-6,563873;15,96405;0,000458;-0,001373;-1,588669;1,507244;0;-0,000458;-4,53083;0,200014;52,72424;47,36538;-208,8638;-521,418;0,181961;0;96,56123;-2597,38;0;0,137329;-1709,06;-1777,594;0,027466;-0,082397;-208,929;9,891128;-2215,324;-1992,92;-1429,064;63,28811;-1370,915;-1231,595
8;128;00:00:00:128;61,15162;-17,69949;7,699113;5,94498;-6,236902;24,36805;103,5072;93,73034;-9,068436;25,13854;103,5775;93,78995;-11,3669;6,100111;51,49966;47,19325;-11,00144;6,357243;12,23707;12,18059;1,10527;2,791786;0;-0,001974;-0,779772;15,56007;0;0,000458;-20,27853;13,93639;-0,000458;0,002289;-0,602245;0,028925;59,77981;53,77578;-3,225803;0,144367;63,27015;56,83839;-45,95031;-115,5693;-0,090981;-0,118446;60,74924;-87,66409;0;-0,027466;-822,8793;-121,6598;-0,054932;0,219727;59,1854;-88,69913;3586,789;3226,574;78,30163;-3,338814;632,7541;568,3811
9;144;00:00:00:144;61,0012;-18,07706;7,965776;5,94498;-6,396814;25,08179;103,5072;93,73032;-8,968457;25,62914;103,5775;93,78993;-11,41121;6,173809;53,11142;48,64329;-11,18951;6,365595;16,16221;15,70683;-9,025269;-22,65449;15,99981;0;-9,594726;42,82425;0,000458;-0,000916;5,998706;29,43626;0;-0,000916;-2,658462;4,421825;96,706;87,0021;-11,28427;0,501165;235,5083;211,5747;-607,8323;-1526,777;959,9886;0,118446;-528,8972;1635,85;0,027466;-0,082397;1576,634;929,9926;0,027466;-0,192261;-123,373;263,574;2215,571;1993,579;-483,5082;21,40789;10334,29;9284,178
10;160;00:00:00:160;61,0012;-18,07706;7,965776;5,94498;-6,396814;25,08179;103,5072;93,73032;-8,968457;25,62914;103,5775;93,78993;-11,41121;6,173809;53,11142;48,64329;-11,18951;6,365595;16,16221;15,70683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;541,5161;1359,27;-959,9886;0;575,6835;-2569,455;-0,027466;0,054932;-359,9224;-1766,176;0;0,054932;159,5077;-265,3095;-5802,36;-5220,125;677,0564;-30,06992;-14130,5;-12694,48
11;176;00:00:00:176;60,94007;-18,22888;8,213412;6,000708;-6,449109;25,57841;103,5072;93,73033;-9,173611;25,94886;103,5775;93,78992;-11,385;6,220283;53,93196;49,38153;-11,1741;6,388747;18,88642;18,1543;-3,667831;-9,109039;14,85815;3,343649;-3,137655;29,79721;-0,000458;0,000458;-12,30921;19,18281;0;-0,000458;1,572876;2,788439;49,23248;44,29481;0,924625;1,389112;163,4524;146,8481;-220,0699;-546,5424;891,489;200,6189;-188,2593;1787,832;-0,027466;0,027466;-738,5524;1150,969;0;-0,027466;94,37254;167,3063;2953,948;2657,688;55,47752;83,34673;9807,144;8810,883
12;192;00:00:00:192;60,75126;-18,69198;7,965826;6,056345;-6,660323;26,22491;103,5072;93,73032;-9,121713;26,20576;103,5774;93,78995;-11,56337;6,2526;54,43016;49,82977;-11,50509;6,403584;21,28843;20,31241;-11,32828;-27,78614;-14,85517;3,338241;-12,67287;38,78997;0,000458;-0,000458;3,11388;15,41405;-0,000916;0,001373;-10,70228;1,939058;29,89197;26,8943;-19,85979;0,890236;144,1207;129,4868;-459,6267;-1120,626;-1782,799;-0,32444;-572,113;539,5659;0,054932;-0,054932;925,3852;-226,126;-0,054932;0,109863;-736,5096;-50,96282;-1160,431;-1044,031;-1247,065;-29,93259;-1159,902;-1041,675
13;208;00:00:00:208;60,88661;-18,36088;7,965753;6,056409;-6,669063;26,36651;103,5072;93,73034;-9,11542;26,20538;103,5775;93,7899;-11,55292;6,25213;54,43015;49,82978;-11,50879;6,379871;21,4642;20,47033;8,120728;19,8658;-0,004406;0,003862;-0,524397;8,496323;-0,000458;0,000916;0,377541;-0,022659;0,001373;-0,002747;0,62685;-0,02821;-0,000916;0,000229;-0,221844;-1,422787;10,5463;9,475135;1166,94;2859,116;891,046;-200,0627;728,9084;-1817,619;-0,054932;0,082397;-164,1804;-926,2023;0,137329;-0,247192;679,748;-118,0361;-1793,573;-1613,644;1178,277;-138,7813;-8014,464;-7200,7
14;224;00:00:00:224;60,96949;-18,1559;7,432472;6,000708;-6,84447;26,87036;103,5072;93,73033;-9,244267;26,37886;103,5775;93,78993;-11,75722;6,261812;54,48877;49,88251;-11,67607;6,411296;21,55209;20,54931;4,973144;12,29874;-31,99685;-3,342104;-10,52439;30,23105;-0,000458;-0,000458;-7,73077;10,40886;-0,000458;0,001831;-12,25765;0,580931;3,517456;3,164291;-10,03681;1,8855;5,272979;4,738883;-188,855;-454,0237;-1919,547;-200,7579;-599,9993;1304,084;0;-0,082397;-486,4986;625,8911;-0,109863;0,274658;-773,0701;36,54842;211,1023;189,8437;-588,898;198,4972;-316,3994;-284,1751
15;240;00:00:00:240;60,94837;-18,20831;7,432472;6,000708;-6,792809;27,00851;103,5072;93,73032;-9,206306;26,42378;103,5775;93,78992;-11,60911;6,254795;54,57668;49,96162;-11,66532;6,410807;21,55209;20,5493;-1,267547;-3,144493;0;0;3,099632;8,288956;0,000458;-0,000458;2,277603;2,695312;0;-0,000458;8,886337;-0,421028;5,274353;4,746322;0,645275;-0,029354;0;-0,000572;-374,4415;-926,5937;1919,811;200,5262;817,441;-1316,526;0,054932;0;600,5023;-462,8127;0,027466;-0,137329;1268,639;-60,11752;105,4138;94,92185;640,9251;-114,8912;-316,3788;-284,3673
