Frame;Elapsed_Time_In_Milliseconds;Time;Thumb_CMC_Spread;Thumb_CMC_Flex;Thumb_PIP_Flex;Thumb_DIP_Flex;Index_MCP_Spread;Index_MCP_Flex;Index_PIP_Flex;Index_DIP_Flex;Middle_MCP_Spread;Middle_MCP_Flex;Middle_PIP_Flex;Middle_DIP_Flex;Ring_MCP_Spread;Ring_MCP_Flex;Ring_PIP_Flex;Ring_DIP_Flex;Pinky_MCP_Spread;Pinky_MCP_Flex;Pinky_PIP_Flex;Pinky_DIP_Flex;Thumb_CMC_Spread_AngularVelocity;Thumb_CMC_Flex_AngularVelocity;Thumb_PIP_Flex_AngularVelocity;Thumb_DIP_Flex_AngularVelocity;Index_MCP_Spread_AngularVelocity;Index_MCP_Flex_AngularVelocity;Index_PIP_Flex_AngularVelocity;Index_DIP_Flex_AngularVelocity;Middle_MCP_Spread_AngularVelocity;Middle_MCP_Flex_AngularVelocity;Middle_PIP_Flex_AngularVelocity;Middle_DIP_Flex_AngularVelocity;Ring_MCP_Spread_AngularVelocity;Ring_MCP_Flex_AngularVelocity;Ring_PIP_Flex_AngularVelocity;Ring_DIP_Flex_AngularVelocity;Pinky_MCP_Spread_AngularVelocity;Pinky_MCP_Flex_AngularVelocity;Pinky_PIP_Flex_AngularVelocity;Pinky_DIP_Flex_AngularVelocity;Thumb_CMC_Spread_AngularAcceleration;Thumb_CMC_Flex_AngularAcceleration;Thumb_PIP_Flex_AngularAcceleration;Thumb_DIP_Flex_AngularAcceleration;Index_MCP_Spread_AngularAcceleration;Index_MCP_Flex_AngularAcceleration;Index_PIP_Flex_AngularAcceleration;Index_DIP_Flex_AngularAcceleration;Middle_MCP_Spread_AngularAcceleration;Middle_MCP_Flex_AngularAcceleration;Middle_PIP_Flex_AngularAcceleration;Middle_DIP_Flex_AngularAcceleration;Ring_MCP_Spread_AngularAcceleration;Ring_MCP_Flex_AngularAcceleration;Ring_PIP_Flex_AngularAcceleration;Ring_DIP_Flex_AngularAcceleration;Pinky_MCP_Spread_AngularAcceleration;Pinky_MCP_Flex_AngularAcceleration;Pinky_PIP_Flex_AngularAcceleration;Pinky_DIP_Flex_AngularAcceleration
0;0;00:00:00:000;57,90546;6,51142;3,094273;60,98241;-2,049373;83,41036;103,5072;93,73033;-6,85535;83,53458;103,5775;93,78992;-13,43753;50,60607;103,3226;93,87173;-13,47366;68,45166;103,312;94,14548;3474,327;390,6852;185,6564;3658,944;-122,9624;5004,622;6210,433;5623,82;-411,321;5012,075;6214,647;5627,395;-806,2516;3036,364;6199,358;5632,304;-808,4196;4107,1;6198,719;5648,729;208459,6;23441,11;11139,38;219536,7;-7377,741;300277,3;372626;337429,2;-24679,26;300724,5;372878,8;337643,7;-48375,09;182181,8;371961,5;337938,2;-48505,17;246426;371923,1;338923,7
1;16;00:00:00:016;58,34139;7,946698;3,094337;75,15237;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-13,35979;51,87114;103,3226;93,87173;-13,45217;69,89201;103,312;94,14546;26,15616;86,1167;0,003805;850,1973;0;0;0;0;0,180302;1,043243;0;0,000916;4,664497;75,90453;0;0;1,289348;86,4212;-0,000458;-0,000916;-206890,3;-18274,11;-11139,15;-168524,8;7377,741;-300277,3;-372626;-337429,2;24690,08;-300661,9;-372878,8;-337643,6;48654,96;-177627,6;-371961,5;-337938,2;48582,53;-241240,7;-371923,2;-338923,8
2;32;00:00:00:032;58,34139;7,946698;3,094337;75,15237;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-13,35979;51,87114;103,3226;93,87173;-13,45217;69,89201;103,312;94,14546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1569,369;-5167,001;-0,22831;-51011,84;0;0;0;0;-10,8181;-62,5946;0;-0,054932;-279,8698;-4554,272;0;0;-77,36091;-5185,271;0,027466;0,054932
3;48;00:00:00:048;58,56487;9,008194;3,0944;82,58533;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-13,25667;52,48321;103,3226;93,87174;-13,23415;70,60519;103,312;94,14545;13,40858;63,68974;0,003791;445,9781;0;0;0;0;0;0;0;0;6,186618;36,72409;0;0,000458;13,081;42,79083;0,000458;-0,000458;804,515;3821,384;0,227451;26758,68;0;0;0;0;0;0;0;0;371,1971;2203,445;0;0,027466;784,8597;2567,45;0,027466;-0,027466
4;64;00:00:00:064;59,19622;11,51794;3,094337;94,91792;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-13,2012;53,95792;103,3226;93,87173;-13,27458;72,30206;103,312;94,14545;37,88131;150,585;-0,003791;739,9553;0;0;0;0;0;0;0;0;3,328228;88,48273;0;-0,000458;-2,425518;101,8121;-0,000458;-0,000458;1468,364;5213,715;-0,454903;17638,63;0;0;0;0;0;0;0;0;-171,5034;3105,519;0;-0,054932;-930,3908;3541,278;-0,054932;0
5;80;00:00:00:080;59,46751;12,36444;3,094337;96,38643;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-13,12207;54,82693;103,3226;93,87173;-13,14792;73,18414;103,312;94,14545;16,27693;50,79002;0;88,11034;0;0;0;0;0;0;0;0;4,747867;52,14019;0;0;7,599391;52,92434;0,000458;0,000458;-1296,263;-5987,699;0,227451;-39110,69;0;0;0;0;0;0;0;0;85,17836;-2180,552;0;0,027466;601,4945;-2933,267;0,054932;0,054932
6;96;00:00:00:096;59,56335;12,60522;3,0944;96,38644;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-13,06968;55,19032;103,3226;93,87177;-13,14969;73,57316;103,312;94,14545;5,750885;14,44656;0,003791;0,000916;0;0;0;0;0;0;0;0;3,143463;21,80374;0;0,001831;-0,106258;23,34137;0;0;-631,5628;-2180,607;0,227451;-5286,565;0;0;0;0;0;0;0;0;-96,26424;-1820,187;0;0,109863;-462,339;-1774,978;-0,027466;-0,027466
7;112;00:00:00:112;59,65994;12,8741;3,094337;96,38644;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-13,01346;55,53008;103,3226;93,87173;-13,14636;73,91597;103,312;94,14547;5,795288;16,13262;-0,003791;-0,000458;0;0;0;0;0;0;0;0;3,373317;20,38536;0;-0,001831;0,199986;20,56869;0,000458;0,000916;2,664184;101,1635;-0,454903;-0,082397;0;0;0;0;0;0;0;0;13,79127;-85,10284;0;-0,219727;18,37463;-166,3605;0,027466;0,054932
8;128;00:00:00:128;59,73776;12,96173;3,094273;96,38644;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-13,00748;55,89917;103,3227;93,87174;-13,1569;74,25979;103,312;94,14547;4,669189;5,258216;-0,003805;0;0;0;0;0;0;0;0;0;0,358601;22,14569;0,000458;0,000458;-0,632229;20,62912;0;0;-67,56592;-652,4643;-0,000858;0,027466;0;0;0;0;0;0;0;0;-180,883;105,6198;0,027466;0,137329;-49,93285;3,625488;-0,027466;-0,054932
9;144;00:00:00:144;59,87816;13,20478;3,094273;96,38644;-2,049373;83,41036;103,5072;93,73033;-6,852345;83,55197;103,5775;93,78994;-12,90939;56,90376;103,3227;93,87173;-13,08171;75,19192;103,312;94,14545;8,423767;14,58263;0;0;0;0;0;0;0;0;0;0;5,885581;60,27534;0;-0,000458;4,511089;55,92773;-0,000458;-0,001373;225,2747;559,465;0,22831;0;0;0;0;0;0;0;0;0;331,6188;2287,779;-0,027466;-0,054932;308,5991;2117,917;-0,027466;-0,082397
